City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,City Country,City Date
binghamton,42.1,-75.91,66.0,93,1,3.27,US,1567472790
rocha,-34.48,-54.34,42.74,82,74,8.55,UY,1567472790
karabulak,44.91,78.49,61.64,29,28,5.57,KZ,1567472790
cayeli,41.09,40.73,66.32,69,23,5.08,TR,1567472790
halifax,44.65,-63.58,68.0,93,90,10.29,CA,1567472774
pitimbu,-7.47,-34.81,75.2,94,20,8.05,BR,1567472708
kongolo,-5.39,27.0,73.16,79,90,2.1,CD,1567472791
alakurtti,66.96,30.34,55.99,79,23,4.0,RU,1567472791
bonavista,48.65,-53.11,57.0,84,100,1.99,CA,1567472595
paracuru,-3.41,-39.03,80.6,74,20,13.87,BR,1567472792
lerwick,60.15,-1.15,48.2,93,15,4.7,GB,1567472792
shahr-e kord,32.33,50.85,50.0,39,0,4.7,IR,1567472792
mabaruma,8.2,-59.78,74.96,97,49,2.93,GY,1567472792
nassjo,57.65,14.7,46.0,93,43,4.7,SE,1567472792
minab,27.15,57.07,84.2,89,0,4.7,IR,1567472793
xuddur,4.12,43.89,72.8,69,97,19.73,SO,1567472793
omboue,-1.57,9.26,74.78,83,99,10.83,GA,1567472793
manaus,-3.13,-59.98,84.2,70,20,4.7,BR,1567472726
meaford,44.61,-80.59,64.99,100,90,2.24,CA,1567472741
grootfontein,-19.56,18.1,52.28,15,0,6.93,NA,1567472794
huarmey,-10.07,-78.15,60.56,91,30,13.15,PE,1567472794
aksu,52.04,76.93,44.6,93,0,8.95,KZ,1567472794
novosergiyevka,52.08,53.65,45.08,84,3,3.98,RU,1567472794
matay,28.42,30.79,74.24,65,0,11.36,EG,1567472795
tete,-16.16,33.59,75.2,69,40,8.05,MZ,1567472795
sao joao da barra,-21.64,-41.05,71.54,83,30,3.47,BR,1567472795
chuy,-33.69,-53.46,49.22,66,89,8.43,UY,1567472795
east london,-33.02,27.91,50.12,91,37,4.59,ZA,1567472662
yabrud,33.97,36.66,68.0,68,0,5.82,SY,1567472796
arraial do cabo,-22.97,-42.02,69.8,88,20,9.17,BR,1567472796
sechura,-5.56,-80.82,63.8,87,22,10.83,PE,1567472796
isiro,2.77,27.62,67.04,99,74,2.19,CD,1567472796
ciudad bolivar,8.12,-63.55,81.8,71,60,2.59,VE,1567472797
den helder,52.96,4.76,66.2,72,75,19.46,NL,1567472797
manta,45.1,24.1,62.54,47,0,4.5,RO,1567472797
albanel,48.88,-72.44,57.0,93,75,4.7,CA,1567472797
jumla,29.28,82.18,51.02,94,29,2.46,NP,1567472798
kidal,18.44,1.41,89.36,43,74,4.63,ML,1567472798
cabildo,-32.43,-71.07,50.0,81,0,4.7,CL,1567472798
mount pleasant,33.16,-94.97,89.6,45,1,3.36,US,1567472544
reinbek,53.51,10.25,57.0,76,0,5.82,DE,1567472798
amapa,15.09,-87.97,84.2,70,40,11.41,HN,1567472799
camacha,33.08,-16.33,71.6,68,40,9.17,PT,1567472799
pisco,-13.71,-76.2,62.6,82,90,13.87,PE,1567472799
coquimbo,-29.95,-71.34,53.6,81,90,3.36,CL,1567472799
saint anthony,43.97,-111.68,87.8,14,1,20.8,US,1567472800
paamiut,61.99,-49.67,43.46,80,35,13.33,GL,1567472800
jardim,-21.48,-56.15,74.78,58,12,6.76,BR,1567472800
suruc,36.98,38.42,75.2,25,0,10.29,TR,1567472801
ribeira grande,38.52,-28.7,72.8,84,1,13.94,PT,1567472801
liverpool,53.41,-2.98,60.8,82,40,9.17,GB,1567472545
takoradi,4.89,-1.75,73.16,96,56,3.29,GH,1567472801
iqaluit,63.75,-68.52,39.2,86,40,2.24,CA,1567472801
nusaybin,37.08,41.21,78.8,27,0,9.17,TR,1567472802
suez,29.97,32.54,72.44,80,0,7.23,EG,1567472802
beni,0.49,29.47,63.08,98,65,1.48,CD,1567472802
salalah,17.01,54.1,78.8,94,90,4.7,OM,1567472802
san ramon de la nueva oran,-23.13,-64.33,57.32,38,36,4.21,AR,1567472802
sao joao de pirabas,-0.77,-47.18,73.34,97,53,3.83,BR,1567472803
saint-louis,16.03,-16.5,82.4,83,20,4.7,SN,1567472803
dejen,10.16,38.15,60.38,88,72,0.69,ET,1567472803
fereydun kenar,36.69,52.52,69.8,94,90,9.17,IR,1567472803
tabora,-5.02,32.81,71.6,64,75,5.82,TZ,1567472804
abha,18.22,42.5,71.6,45,0,1.61,SA,1567472804
constitucion,23.99,-104.67,63.0,87,90,12.75,MX,1567472804
murgab,37.5,61.97,62.6,51,0,4.7,TM,1567472805
beberibe,-4.18,-38.13,80.6,74,20,13.87,BR,1567472805
yar-sale,66.83,70.83,43.82,72,100,8.75,RU,1567472805
busselton,-33.64,115.35,57.99,46,27,19.28,AU,1567472805
ornskoldsvik,63.29,18.72,44.6,87,26,4.7,SE,1567472616
hollola,60.99,25.5,50.0,99,99,4.54,FI,1567472806
kyshtovka,56.56,76.62,45.08,93,100,9.4,RU,1567472806
cap-aux-meules,47.38,-61.86,66.2,82,90,18.34,CA,1567472806
chacabuco,-34.64,-60.47,39.5,69,0,7.23,AR,1567472806
malindi,-3.22,40.12,72.08,92,59,8.57,KE,1567472807
lasa,34.92,32.53,75.2,83,0,5.82,CY,1567472807
lukovetskiy,64.29,41.92,57.2,87,0,4.47,RU,1567472807
port blair,11.67,92.75,81.98,82,100,21.7,IN,1567472807
koundara,12.49,-13.3,74.96,94,100,1.34,GN,1567472808
pontarlier,46.9,6.35,55.0,87,2,3.87,CH,1567472808
hambantota,6.12,81.12,77.0,100,90,6.93,LK,1567472808
lichtenburg,-26.15,26.16,48.32,14,0,9.66,ZA,1567472808
bodrum,37.04,27.43,71.6,88,0,8.19,TR,1567472809
awbari,26.59,12.77,83.78,27,4,5.99,LY,1567472809
springbok,-29.67,17.88,62.54,15,0,7.9,ZA,1567472809
krasnovishersk,60.4,57.08,42.74,98,18,5.95,RU,1567472810
antalaha,-14.9,50.28,61.46,98,13,3.87,MG,1567472810
bocana de paiwas,12.79,-85.12,74.06,82,0,2.08,NI,1567472810
souillac,45.6,-0.6,59.0,71,0,9.19,FR,1567472810
albany,42.65,-73.75,68.0,93,90,6.93,US,1567472688
imbituba,-28.24,-48.67,62.6,67,75,6.93,BR,1567472811
pantelimon,44.45,26.2,68.0,67,0,1.12,RO,1567472811
gulf gate estates,27.26,-82.51,84.2,74,1,8.05,US,1567472811
awjilah,29.14,21.3,84.14,26,0,7.54,LY,1567472811
jalu,29.03,21.55,83.96,26,0,10.87,LY,1567472812
hithadhoo,-0.6,73.08,82.88,75,94,9.82,MV,1567472812
viedma,-40.81,-62.99,40.4,67,86,15.88,AR,1567472530
ostrovnoy,68.05,39.51,57.14,82,40,17.83,RU,1567472812
dikson,73.51,80.55,42.74,93,91,9.51,RU,1567472813
riviere-au-renard,49.0,-64.4,59.0,82,90,8.05,CA,1567472813
zubtsov,56.17,34.59,54.8,88,0,2.26,RU,1567472813
maxixe,-23.86,35.35,60.56,95,0,3.33,MZ,1567472813
amsterdam,52.37,4.89,64.99,77,40,12.75,NL,1567472806
westport,41.14,-73.36,73.0,94,40,4.7,US,1567472523
lagoa,37.14,-8.45,75.99,73,0,3.36,PT,1567472814
dingle,11.0,122.67,79.64,79,97,6.55,PH,1567472814
namibe,-15.19,12.15,64.16,86,57,9.66,AO,1567472814
kovdor,67.56,30.47,52.64,90,12,4.72,RU,1567472815
marquette,46.54,-87.4,55.4,76,40,3.36,US,1567472530
enkhuizen,52.7,5.29,66.0,72,75,19.46,NL,1567472815
narsaq,60.91,-46.05,50.0,76,69,4.7,GL,1567472815
hermanus,-34.42,19.24,53.01,93,0,1.99,ZA,1567472816
at-bashi,41.17,75.81,41.3,65,0,0.34,KG,1567472816
nanortalik,60.14,-45.24,42.2,88,86,4.76,GL,1567472816
gobabis,-22.45,18.97,57.2,19,0,4.7,NA,1567472816
touros,-5.2,-35.46,75.2,88,20,8.05,BR,1567472816
madoc,43.71,-79.75,73.4,100,90,2.24,CA,1567472817
maltahohe,-24.83,16.98,51.02,7,0,8.46,NA,1567472817
puerto del rosario,28.5,-13.86,71.6,78,0,10.29,ES,1567472817
mao,19.55,-71.08,86.0,66,40,8.05,DO,1567472817
lutry,46.5,6.69,59.0,93,0,1.12,CH,1567472818
kopervik,59.28,5.31,59.0,87,100,20.8,NO,1567472818
turayf,31.68,38.65,78.8,36,0,9.17,SA,1567472818
inhambane,-23.87,35.38,60.56,95,0,3.33,MZ,1567472819
bridlington,54.08,-0.19,60.01,87,99,13.87,GB,1567472819
bambous virieux,-20.34,57.76,70.0,88,75,8.05,MU,1567472819
fenton,53.0,-2.16,60.01,87,90,4.7,GB,1567472819
ust-tsilma,65.44,52.15,42.2,95,40,2.75,RU,1567472820
gulu,2.77,32.3,65.6,92,86,1.14,UG,1567472820
sens,48.2,3.28,54.0,81,0,4.74,FR,1567472820
qaanaaq,77.48,-69.36,30.86,58,15,2.53,GL,1567472820
sao filipe,14.9,-24.5,80.72,86,100,12.71,CV,1567472821
satka,55.04,59.03,43.46,99,100,3.42,RU,1567472821
tucurui,-3.77,-49.67,80.36,58,12,1.05,BR,1567472821
ugoofaaru,5.67,73.0,82.52,74,100,8.99,MV,1567472821
goderich,43.74,-81.71,66.0,90,24,10.31,CA,1567472822
mossendjo,-2.95,12.72,70.28,85,61,2.59,CG,1567472822
havoysund,71.0,24.66,48.2,93,75,25.28,NO,1567472686
kumluca,36.37,30.29,57.68,56,0,2.93,TR,1567472822
lujan,-46.57,-67.67,38.78,55,26,11.3,AR,1567472823
ilulissat,69.22,-51.1,42.8,70,75,15.41,GL,1567472823
muros,42.77,-9.06,69.8,87,0,4.7,ES,1567472823
carnarvon,-30.97,22.13,48.86,24,0,0.6,ZA,1567472824
sorland,67.67,12.69,52.46,79,18,27.16,NO,1567472824
ratnagiri,16.98,73.3,81.08,83,100,18.34,IN,1567472824
salym,60.06,71.48,42.2,96,100,3.18,RU,1567472824
carlos antonio lopez,-26.4,-54.77,54.62,55,5,2.71,PY,1567472825
yenotayevka,47.24,47.04,60.74,86,89,8.66,RU,1567472825
geraldton,49.72,-86.95,50.0,53,75,4.7,CA,1567472747
richards bay,-28.77,32.06,71.18,70,58,9.57,ZA,1567472826
taoudenni,22.68,-3.98,101.6,19,65,7.87,ML,1567472826
najran,17.54,44.22,86.0,16,0,3.36,SA,1567472826
nikolskoye,59.7,30.79,62.6,82,90,8.95,RU,1567472826
san martin,37.08,-121.61,84.99,44,1,16.11,US,1567472827
beira,43.2,-8.36,69.01,82,0,3.36,ES,1567472827
ekibastuz,51.72,75.32,46.88,79,12,12.15,KZ,1567472827
vila do maio,15.13,-23.22,78.74,86,18,10.18,CV,1567472828
necochea,-38.55,-58.74,42.01,74,55,8.01,AR,1567472828
sasaram,24.95,84.01,83.42,65,100,2.68,IN,1567472828
iznoski,54.99,35.31,56.96,89,4,3.24,RU,1567472829
porto empedocle,37.29,13.53,68.0,69,25,3.0,IT,1567472829
havre-saint-pierre,50.23,-63.6,53.6,93,90,14.99,CA,1567472829
upernavik,72.79,-56.15,42.56,57,0,4.88,GL,1567472829
mbaiki,3.87,17.99,68.48,97,85,1.92,CF,1567472830
sovetskiy,56.76,48.47,44.18,92,0,6.73,RU,1567472830
berlevag,70.86,29.09,53.9,88,87,10.13,NO,1567472830
bubaque,11.28,-15.83,80.72,84,48,15.48,GW,1567472830
castro,-42.48,-73.76,41.0,86,20,6.93,CL,1567472831
agadir,30.42,-9.58,66.2,88,75,3.36,MA,1567472831
mahebourg,-20.41,57.7,70.0,88,75,8.05,MU,1567472831
itarema,-2.92,-39.92,77.48,76,96,12.24,BR,1567472832
kuusamo,65.96,29.19,59.0,87,75,10.29,FI,1567472832
bredasdorp,-34.53,20.04,48.2,93,0,2.24,ZA,1567472832
longyearbyen,78.22,15.63,37.4,74,75,17.22,NO,1567472832
pombas,-15.9,-54.74,83.96,43,79,5.44,BR,1567472832
dese,45.53,12.3,73.4,77,20,20.8,IT,1567472833
roald,62.58,6.12,51.8,71,75,8.05,NO,1567472833
ponta do sol,-20.63,-46.0,74.06,51,72,3.53,BR,1567472833
afsin,38.25,36.91,49.04,60,0,1.74,TR,1567472833
margate,-43.03,147.26,61.0,44,75,13.87,AU,1567472834
inyonga,-6.72,32.06,65.06,49,4,5.57,TZ,1567472834
hendrina,-26.16,29.72,41.0,64,0,5.61,ZA,1567472834
victoria,5.28,115.24,82.4,78,75,2.24,BN,1567472834
inongo,-1.93,18.29,74.06,85,72,2.51,CD,1567472835
wadi maliz,36.47,8.55,75.2,83,40,6.93,TN,1567472835
mango,4.65,22.36,70.64,90,88,2.51,CF,1567472561
quatre cocos,-20.21,57.76,70.0,88,75,8.05,MU,1567472835
turbat,26.0,63.05,85.04,65,98,6.35,PK,1567472836
panaba,21.28,-88.27,80.54,82,65,4.83,MX,1567472836
voskresenskoye,56.84,45.43,45.08,84,19,2.75,RU,1567472836
rafaela,-31.25,-61.49,52.0,41,87,8.01,AR,1567472836
saldanha,41.42,-6.55,66.32,43,0,8.79,PT,1567472836
nizwa,22.93,57.53,80.72,42,25,0.56,OM,1567472837
kajaani,64.22,27.73,57.2,100,90,6.93,FI,1567472837
purpe,64.48,76.69,50.0,92,100,10.71,RU,1567472838
jizan,16.89,42.56,91.4,55,40,6.93,SA,1567472838
saint-georges,46.12,-70.67,59.0,96,100,8.93,CA,1567472838
port alfred,-33.59,26.89,55.99,89,32,5.01,ZA,1567472838
owerri,5.49,7.03,73.52,96,100,5.08,NG,1567472839
zhezkazgan,47.8,67.71,49.4,43,3,5.84,KZ,1567472839
bandarbeyla,9.49,50.81,74.24,77,0,21.34,SO,1567472839
coihaique,-45.58,-72.07,35.6,74,0,3.36,CL,1567472839
cabedelo,-6.97,-34.84,75.2,94,20,8.05,BR,1567472839
birjand,32.86,59.22,59.0,28,0,9.17,IR,1567472840
san andres,13.32,122.68,80.0,81,99,12.33,PH,1567472840
chiredzi,-21.05,31.67,63.26,75,0,4.14,ZW,1567472840
igrim,63.19,64.42,44.0,97,74,6.08,RU,1567472841
punta arenas,-53.16,-70.91,39.2,64,0,21.92,CL,1567472841
kodinar,20.79,70.7,78.38,91,80,3.96,IN,1567472841
sonepur,25.7,85.16,82.4,88,40,5.82,IN,1567472841
georgetown,6.8,-58.16,82.4,78,40,6.93,GY,1567472769
torbay,47.66,-52.73,57.99,93,75,13.87,CA,1567472842
behshahr,36.69,53.54,69.8,94,90,9.17,IR,1567472842
hualmay,-11.1,-77.61,60.74,89,47,12.33,PE,1567472842
kutum,14.2,24.66,73.88,67,64,4.36,SD,1567472842
jamestown,-33.21,138.6,58.94,75,4,10.07,AU,1567472758
pangnirtung,66.15,-65.72,40.58,90,100,1.21,CA,1567472843
cidreira,-30.17,-50.22,53.9,74,0,4.76,BR,1567472843
yarmouth,43.84,-66.12,66.99,88,90,10.29,CA,1567472843
thompson,55.74,-97.86,55.4,54,90,4.7,CA,1567472844
senanga,-16.1,23.3,63.62,32,0,6.13,ZM,1567472844
codrington,-28.95,153.24,72.0,49,0,2.24,AU,1567472844
mar del plata,-46.43,-67.52,38.78,55,26,11.3,AR,1567472844
barkhan,29.9,69.52,75.14,75,4,3.49,PK,1567472845
bealanana,-14.54,48.75,56.24,92,17,6.53,MG,1567472845
tasiilaq,65.61,-37.64,41.0,59,77,6.93,GL,1567472585
carballo,43.21,-8.69,69.01,82,3,3.36,ES,1567472845
kruisfontein,-34.0,24.73,50.3,86,0,6.31,ZA,1567472846
ibra,22.69,58.55,80.0,50,65,1.34,OM,1567472846
montepuez,-13.13,39.0,66.14,77,52,3.36,MZ,1567472846
san cristobal,14.68,-86.92,76.58,51,9,6.11,HN,1567472846
ludvika,60.15,15.18,51.01,93,17,5.82,SE,1567472847
clyde river,70.47,-68.59,39.2,86,90,3.36,CA,1567472847
ushuaia,-54.81,-68.31,35.6,97,75,27.51,AR,1567472791
neuwied,50.43,7.47,57.99,58,53,3.36,DE,1567472847
mariakani,-3.87,39.47,73.4,88,20,5.82,KE,1567472847
mashhad,36.3,59.61,64.4,34,0,2.73,IR,1567472681
chapadinha,-3.74,-43.35,81.08,59,43,4.61,BR,1567472848
port elizabeth,39.31,-74.98,78.01,88,75,8.05,US,1567472848
umm lajj,25.02,37.27,85.94,69,35,14.34,SA,1567472848
sur,22.57,59.53,78.56,64,88,6.55,OM,1567472848
owando,-0.49,15.91,73.16,89,56,3.18,CG,1567472849
lebu,8.96,38.73,59.0,82,75,4.7,ET,1567472849
cape town,-33.93,18.42,54.0,100,0,4.7,ZA,1567472571
qasigiannguit,68.82,-51.19,42.8,70,75,4.47,GL,1567472850
lewisporte,49.25,-55.06,59.0,62,75,14.99,CA,1567472850
porkhov,57.77,29.55,60.8,82,4,11.18,RU,1567472850
sarakhs,36.54,61.16,61.46,28,0,1.3,TM,1567472850
miranda,-20.24,-56.38,76.58,58,13,2.46,BR,1567472595
mezen,65.85,44.24,53.72,93,28,8.1,RU,1567472851
castelbuono,37.93,14.09,75.0,74,8,7.0,IT,1567472851
jacareacanga,-6.22,-57.76,82.7,46,86,0.6,BR,1567472852
malmesbury,51.58,-2.1,61.0,82,75,4.7,GB,1567472852
jinka,5.79,36.57,65.96,75,53,4.03,ET,1567472852
cayenne,4.94,-52.33,78.8,88,0,3.36,GF,1567472668
saint-philippe,45.36,-73.48,66.99,93,90,5.77,CA,1567472852
